일련번호,상품명,중량, 판매가 ,소재,규격,구성,상품정보고시
40,지갑 속 아트갤러리_허클베리 멍키,3.75,630000,Au 999.9,17mm,"메달, 카드형 케이스, 보증서(카드 후면)","소재:순금 Au999.9크기:17mm무게:3.75g구성:메달, 카드형 케이스, 보증서(카드 후면)보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
41,지갑 속 아트갤러리-꼬끄지앵,3.75,630000,Au 999.9,17mm,"메달, 케이스, 보증서","소재:순금 Au999.9크기:17mm무게:3.75g구성:메달, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
42,지갑 속 아트갤러리-팬시 타이거,3.75,630000,Au 999.9,17mm,"메달, 케이스, 보증서","소재:순금 Au999.9크기:17mm 무게:3.75g구성:메달, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
43,지갑 속 아트갤러리-피기드림,3.75,630000,Au999.9,17mm,"메달, 케이스, 보증서","소재:순금 Au999.9크기:17mm무게:3.75g구성:메달, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
44,지갑 속 아트갤러리-휘용찬란,3.75,630000,Au 999.9,17mm,"메달, 카드형 케이스, 보증서(카드 후면)","소재:순금 Au999.9크기:17mm무게:3.75g구성:메달, 카드형 케이스, 보증서(카드 후면)보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
45,천마총 금관 카드형 골드 11.25g,11.25,1780000,Au 999.9,골드바 16x27mm 카드 86x54mm,"카드형 골드, 보증서, 전용 아우터 케이스","소재:순금 Au999.9크기:골드바 16x27mm 카드 86x54mm무게:11.25g구성:카드형 골드, 보증서, 전용 아우터 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
46,천마총 금관 카드형 골드 3.75g,3.75,630000,Au 999.9,(가로X세로) 골드바 12X20mm 카드 86X54mm,"카드형 골드, 보증서, 전용 아우터 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 12X20mm 카드 86X54mm무게:3.75g구성:카드형 골드, 보증서, 전용 아우터 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
47,천마총 금관 카드형 골드 37.5g,37.5,5900000,Au 999.9,골드바 22x38mm 카드 86x54mm,"카드형 골드, 보증서, 아우터 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 22x38mm 카드 86x54mm무게:37.5g구성:카드형 골드, 보증서, 아우터 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
48,천상열차분야지도 카드형 골드 15.55g(1/2oz),15.55,2460000,Au 999,골드바 Φ30mm / 카드 54x86mm,"메달, 카드케이스(보증서 포함), 케이스","소재:순금 Au999크기:(가로X세로) 골드바 Φ30mm, 카드 54x86mm무게:15.55g(1/2oz)구성:메달, 카드케이스(보증서 포함), 전용 고급 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
49,천상열차분야지도 카드형 골드 3.75g,3.75,630000,Au 999,골드바 Φ17mm / 카드 86x54mm,"메달, 카드케이스(보증서 포함), 케이스","소재:순금 Au999크기:(가로X세로) 골드바 Φ17mm, 카드 86x54mm무게:3.75g구성:메달, 카드케이스(보증서 포함), 전용 고급 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
50,활옷 카드형 골드 15.55g(1/2oz),15.55,2460000,Au 999.9,골드바 Φ30mm / 카드 54x86mm,"메달, 카드케이스(보증서 포함), 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 Φ30mm, 카드 54x86mm무게:15.55g(1/2oz)구성:메달, 카드케이스(보증서 포함), 전용 고급 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
51,활옷 카드형 골드 3.75g,3.75,630000,Au 999.9,골드바 Φ17mm / 카드 86x54mm,"메달, 카드케이스(보증서 포함), 케이스","소재:순금 Au999.9크기:(가로X세로) 골드바 Φ17mm, 카드 86x54mm무게:3.75g구성:메달, 카드케이스(보증서 포함), 전용 고급 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
